team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
10,London Royal Ravens,LDN,13,New York Subliners,NY,8661,1670103000,1664399847,3,0,10,13,19542,Al Bagra Fortress,CDL Hardpoint,250,244,10,13,44,Obaid,Asim,Asim,Al Bagra Fortress,CDL Hardpoint,44,177.7180328,5,22,4,14,17,98,28,26,4,3475,21,7,3296,81,62272.44141,,,,,30,0,0,0,5,1.08
,,,,,,,,,,,,,19543,Breenbergh Hotel,CDL SnD,6,2,10,13,61,Trei,Morris,Zer0,Al Bagra Fortress,CDL Hardpoint,61,165.3721924,5,19,6,10,15,0,26,25,4,3395,20,6,2923,0,53249.88281,,,,,47,3,0,0,6,1.04
,,,,,,,,,,,,,19544,Breenbergh Hotel,CDL Control,3,0,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19545,Breenbergh Hotel,CDL Hardpoint,,,,,361,Paul,Avila,PaulEhx,Al Bagra Fortress,CDL Hardpoint,361,150.5961761,2,18,8,17,9,64,17,26,9,4190,11,6,2434,0,48706.97266,,,,,139,1,0,0,3,0.65
,,,,,,,,,,,,,19546,El Asilo,CDL SnD,,,,,426,Byron,Plumridge,Nastie,Al Bagra Fortress,CDL Hardpoint,426,168.2657776,7,18,5,4,12,0,30,23,3,4050,26,4,3437,100,63735.86328,,,,,36,2,0,0,8,1.3
,,,,,,,,,,,,,,,,,,,,39,Preston,Greiner,Priestahh,Breenbergh Hotel,CDL SnD,44,107.935463,3,4,0,4,2,66,8,5,0,900,7,1,1019,0,43788.76172,,1,0,0,,,0,3,0,1.6
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,61,94.02269745,2,3,1,5,5,0,6,5,1,700,3,2,572,0,37033.57422,,1,1,0,,,0,0,0,1.2
,,,,,,,,,,,,,,,,,,,,50,Matthew,Tinsley,KiSMET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,361,89.41915894,3,2,2,8,8,40,5,4,3,550,4,0,774,0,33919.55469,,0,0,0,,,0,1,0,1.25
,,,,,,,,,,,,,,,,,,,,120,Cesar,Bueno,Skyz,Breenbergh Hotel,CDL SnD,426,68.89718628,4,4,0,5,5,20,9,4,0,700,5,0,1028,0,27742.99609,,2,0,0,,,0,2,0,2.25
