"match_map_id","player_id","total_kills","total_deaths","total_assists","kill_death_ratio","total_score","damage_dealt","highest_streak","untraded_deaths","traded_deaths","untraded_kills","traded_kills","tacticals_used","lethals_used","dead_silence_time","friendly_damage","distance_traveled","average_speed","control_tiers_captured","first_blood_kills","bombs_planted","bombs_defused","sneak_defuses","aces","hp_hill_time","hp_hill_time_contested","rotation_kills"
19542,44,28,26,4,1.08,3475,3296,5,22,4,21,7,14,17,98,81,62272.44141,177.7180328,,0,,,,0,30,0,5
19542,61,26,25,4,1.04,3395,2923,5,19,6,20,6,10,15,0,0,53249.88281,165.3721924,,0,,,,0,47,3,6
19542,361,17,26,9,0.65,4190,2434,2,18,8,11,6,17,9,64,0,48706.97266,150.5961761,,0,,,,0,139,1,3
19542,426,30,23,3,1.3,4050,3437,7,18,5,26,4,4,12,0,100,63735.86328,168.2657776,,0,,,,0,36,2,8
19543,44,8,5,0,1.6,900,1019,3,4,0,7,1,4,2,66,0,43788.76172,107.935463,,3,1,0,0,0,,,0
19543,61,6,5,1,1.2,700,572,2,3,1,3,2,5,5,0,0,37033.57422,94.02269745,,0,1,1,0,0,,,0
19543,361,5,4,3,1.25,550,774,3,2,2,4,0,8,8,40,0,33919.55469,89.41915894,,1,0,0,0,0,,,0
19543,426,9,4,0,2.25,700,1028,4,4,0,5,0,5,5,20,0,27742.99609,68.89718628,,2,2,0,0,0,,,0
19544,44,16,17,7,0.94,1825,2130,6,12,5,12,4,11,10,87,0,62680.04688,186.5697479,1,1,,,,0,,,0
19544,61,15,14,5,1.07,1975,1935,4,11,4,12,3,9,9,0,32,53873.06641,158.7332001,0,0,,,,0,,,0
19544,361,20,16,5,1.25,2425,2349,4,12,4,15,5,17,9,93,28,55588.67969,165.4142761,3,1,,,,0,,,0
19544,426,27,16,0,1.69,3025,2885,6,14,2,22,5,9,10,0,81,56340.56641,171.2595062,4,0,,,,0,,,0
19542,39,18,23,5,0.78,3625,2079,3,20,3,15,3,19,18,107,83,48636.96875,148.4894409,,0,,,,0,100,1,6
19542,50,25,32,7,0.78,4910,3220,6,24,8,17,8,7,9,0,0,58346.69141,177.3419647,,1,,,,0,121,5,4
19542,120,26,21,7,1.24,3500,3162,6,15,6,20,6,16,14,0,2,52920.83984,155.4314423,,0,,,,0,40,0,10
19542,262,31,25,5,1.24,3370,3454,8,19,6,25,6,8,9,55,17,68126.82813,198.122818,,0,,,,0,7,1,6
19543,39,4,8,0,0.5,500,560,2,5,0,3,1,4,3,47,0,36852.36719,88.47296143,,0,1,0,0,0,,,0
19543,50,6,7,1,0.86,625,816,4,6,1,5,0,4,3,45,0,38759.69141,96.10866547,,2,0,0,0,0,,,0
19543,120,3,7,1,0.43,450,614,1,5,0,2,1,6,4,15,0,39736.52734,103.6039505,,0,1,0,0,0,,,0
19543,262,5,6,1,0.83,625,440,4,3,2,3,1,4,3,58,0,39504.63672,103.4435272,,0,0,1,0,1,,,0
19544,39,12,20,3,0.6,1550,1679,4,18,2,8,4,17,15,170,40,59429.60938,191.1014252,5,0,,,,0,,,0
19544,50,19,24,7,0.79,2700,2193,4,17,7,14,5,9,7,0,39,68115.16406,202.0880432,5,0,,,,0,,,0
19544,120,13,15,3,0.87,1625,1506,3,11,4,11,3,13,11,0,0,53425.62891,169.6907654,6,1,,,,0,,,0
19544,262,19,19,6,1,2175,2322,5,15,4,16,3,6,7,107,28,72202.35156,216.0354614,0,0,,,,0,,,0
19567,39,27,18,11,1.5,3385,2828,6,10,8,19,8,15,13,108,200,57424.80859,183.3382111,,0,,,,0,26,0,3
19567,50,17,20,9,0.85,3910,2388,5,14,6,11,6,11,9,0,21,59966.95703,189.0212708,,0,,,,0,117,15,3
19567,120,17,16,7,1.06,3175,2017,3,10,6,14,3,17,13,0,58,61432.29688,192.1176605,,0,,,,0,71,8,1
19567,262,26,22,9,1.18,4505,2842,3,16,6,15,11,9,8,104,0,62699.23047,199.8625793,,1,,,,0,73,3,4
19568,39,3,8,1,0.38,325,587,1,7,1,3,0,9,5,40,0,42683.53125,79.29176331,,1,0,0,0,0,,,0
